id,num_drivers,created_at,updated_at,driver_eta
10510,3,2017-11-01 14:09:07.871081,2017-11-01 14:09:07.871081,1
10511,4,2017-11-01 14:10:07.910979,2017-11-01 14:10:07.910979,1
10512,4,2017-11-01 14:26:27.697273,2017-11-01 14:26:27.697273,0
10513,4,2017-11-01 14:27:27.81171,2017-11-01 14:27:27.81171,1
10514,4,2017-11-01 14:28:07.688047,2017-11-01 14:28:07.688047,0
10515,4,2017-11-01 14:28:47.705179,2017-11-01 14:28:47.705179,1
10516,5,2017-11-01 14:34:47.795584,2017-11-01 14:34:47.795584,1
10517,4,2017-11-01 14:35:47.800195,2017-11-01 14:35:47.800195,1
10518,5,2017-11-01 14:45:27.79369,2017-11-01 14:45:27.79369,1
10519,4,2017-11-01 14:50:27.747381,2017-11-01 14:50:27.747381,1
10520,3,2017-11-01 14:56:27.627572,2017-11-01 14:56:27.627572,1
10521,2,2017-11-01 15:00:27.914155,2017-11-01 15:00:27.914155,1
10522,1,2017-11-01 15:05:47.827828,2017-11-01 15:05:47.827828,3
10523,0,2017-11-01 15:06:07.623864,2017-11-01 15:06:07.623864,1000
10524,1,2017-11-01 15:07:27.972129,2017-11-01 15:07:27.972129,3
10525,1,2017-11-01 15:09:07.793788,2017-11-01 15:09:07.793788,2
10526,2,2017-11-01 15:09:27.862492,2017-11-01 15:09:27.862492,2
10527,3,2017-11-01 15:11:47.83037,2017-11-01 15:11:47.83037,1
10528,3,2017-11-01 15:13:07.788732,2017-11-01 15:13:07.788732,0
10529,2,2017-11-01 15:14:47.821557,2017-11-01 15:14:47.821557,1
10530,2,2017-11-01 15:15:47.820267,2017-11-01 15:15:47.820267,0
10531,3,2017-11-01 15:16:47.935356,2017-11-01 15:16:47.935356,1
10532,4,2017-11-01 15:17:47.714664,2017-11-01 15:17:47.714664,1
10533,3,2017-11-01 15:20:07.95242,2017-11-01 15:20:07.95242,1
10534,4,2017-11-01 15:21:07.777031,2017-11-01 15:21:07.777031,1
10535,4,2017-11-01 15:21:27.858635,2017-11-01 15:21:27.858635,0
10536,4,2017-11-01 15:22:47.799694,2017-11-01 15:22:47.799694,1
10537,5,2017-11-01 15:23:47.838445,2017-11-01 15:23:47.838445,1
10538,5,2017-11-01 15:24:07.727425,2017-11-01 15:24:07.727425,0
10539,5,2017-11-01 15:25:07.809372,2017-11-01 15:25:07.809372,1
10540,6,2017-11-01 15:27:47.831368,2017-11-01 15:27:47.831368,1
10541,6,2017-11-01 15:31:07.967118,2017-11-01 15:31:07.967118,0
10542,7,2017-11-01 15:31:27.675309,2017-11-01 15:31:27.675309,0
10543,7,2017-11-01 15:32:07.958622,2017-11-01 15:32:07.958622,1
10544,6,2017-11-01 15:41:07.962759,2017-11-01 15:41:07.962759,1
10545,7,2017-11-01 15:43:27.962872,2017-11-01 15:43:27.962872,1
10546,8,2017-11-01 15:48:07.779656,2017-11-01 15:48:07.779656,1
10547,8,2017-11-01 15:48:28.008916,2017-11-01 15:48:28.008916,0
10548,7,2017-11-01 15:49:07.936351,2017-11-01 15:49:07.936351,1
10549,6,2017-11-01 15:49:27.694672,2017-11-01 15:49:27.694672,1
10550,7,2017-11-01 15:53:47.740629,2017-11-01 15:53:47.740629,1
